trial,gen,CR,Faith,AR,W-Score,bm25_k,vec_k,rrf_k,rerank_k,thresh,fk,reranker,reranker_type,fusion,alpha,mode,adapt_thresh
0,1,0.8163,0.8913,0.8697,2.8426,50,50,50,25,0.0500,10,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.50,fixed,0.050
1,1,0.8429,0.8945,0.8766,2.8805,193,286,223,34,0.0432,3,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.27,fixed,0.086
2,1,0.8192,0.9206,0.8699,2.8808,100,98,162,27,0.0764,7,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.57,adaptive,0.059
3,1,0.8119,0.8937,0.8671,2.8382,308,59,28,48,0.2416,9,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.83,fixed,0.102
4,1,0.8211,0.8604,0.8636,2.8035,335,100,161,32,0.0503,10,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.14,adaptive,0.115
5,1,0.8401,0.9223,0.8724,2.9064,200,88,251,24,0.0738,6,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.75,fixed,0.191
6,1,0.8308,0.9524,0.8720,2.9329,367,234,31,24,0.0334,9,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.81,fixed,0.144
7,1,0.7887,0.9154,0.8659,2.8397,68,217,231,33,0.1939,6,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.51,fixed,0.232
8,1,0.8470,0.9261,0.8667,2.9117,132,129,229,19,0.0239,4,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.81,fixed,0.158
9,1,0.8366,0.9265,0.8715,2.9071,406,270,102,14,0.0608,5,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.37,fixed,0.239
10,1,0.8348,0.8890,0.8695,2.8581,168,160,214,24,0.2431,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.14,fixed,0.106
11,1,0.8441,0.9189,0.8641,2.8972,455,79,52,30,0.2465,4,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.53,adaptive,0.068
12,1,0.8385,0.8885,0.8715,2.8633,420,103,64,11,0.1498,8,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.85,fixed,0.078
13,1,0.8144,0.9173,0.8689,2.8710,177,43,279,45,0.0682,7,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.61,adaptive,0.118
14,1,0.8164,0.9011,0.8728,2.8578,181,221,271,46,0.1961,7,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.10,adaptive,0.082
15,1,0.8407,0.8986,0.8651,2.8707,279,211,199,19,0.1795,4,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.39,fixed,0.103
16,1,0.8350,0.8954,0.8719,2.8685,129,293,124,46,0.1596,9,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.62,fixed,0.085
17,1,0.8275,0.8825,0.8714,2.8451,471,287,276,25,0.0088,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.35,adaptive,0.084
18,1,0.8242,0.9162,0.8719,2.8827,283,282,212,33,0.0288,7,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.39,adaptive,0.109
19,1,0.8023,0.9334,0.8722,2.8819,407,245,262,47,0.1303,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.18,adaptive,0.166
20,1,0.8503,0.9184,0.8759,2.9158,27,145,167,21,0.1498,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.60,fixed,0.067
21,1,0.8259,0.9294,0.8667,2.8946,35,164,167,36,0.1829,10,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.87,fixed,0.217
22,1,0.8331,0.9090,0.8815,2.8935,351,129,60,16,0.0663,6,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.44,adaptive,0.100
23,1,0.8454,0.9333,0.8828,2.9365,184,230,14,14,0.0163,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.130
24,1,0.8376,0.9315,0.8738,2.9166,312,194,23,25,0.1583,6,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.85,adaptive,0.165
25,1,0.8297,0.9210,0.8783,2.9010,200,197,143,32,0.2357,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.65,adaptive,0.064
26,1,0.8253,0.9195,0.8701,2.8858,166,255,16,43,0.0741,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.70,fixed,0.211
27,1,0.8221,0.8441,0.8626,2.7838,496,130,118,41,0.0885,10,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.76,fixed,0.114
28,2,0.8442,0.9011,0.8686,2.8810,449,123,13,47,0.0274,4,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.64,adaptive,0.200
29,2,0.8326,0.8791,0.8716,2.8463,398,197,143,42,0.0088,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.81,adaptive,0.084
30,2,0.8302,0.9281,0.8666,2.8972,182,255,44,15,0.1498,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.60,fixed,0.067
31,2,0.8321,0.9211,0.8748,2.8998,471,160,276,14,0.0088,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.40,adaptive,0.084
32,2,0.8305,0.9238,0.8724,2.8987,166,255,16,25,0.2041,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.70,fixed,0.125
33,2,0.8378,0.9372,0.8639,2.9126,50,88,271,41,0.0738,7,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.49,adaptive,0.191
34,2,0.8031,0.8947,0.8626,2.8256,15,103,167,11,0.1829,8,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.20,fixed,0.074
35,2,0.8400,0.9099,0.8718,2.8909,328,227,179,33,0.2407,5,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.51,fixed,0.232
36,2,0.7594,0.9020,0.8618,2.7898,312,230,14,49,0.1583,2,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.85,adaptive,0.249
37,2,0.8239,0.9458,0.8717,2.9177,283,282,31,32,0.1407,7,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.39,fixed,0.109
38,2,0.8453,0.9343,0.8703,2.9238,129,293,124,46,0.1596,3,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.82,fixed,0.085
39,2,0.8172,0.9139,0.8662,2.8666,100,286,23,27,0.0738,10,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.57,fixed,0.086
40,2,0.8295,0.9107,0.8684,2.8775,447,255,142,35,0.0730,3,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.70,fixed,0.211
41,2,0.8336,0.9404,0.8700,2.9190,48,293,296,14,0.1760,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.45,fixed,0.157
42,2,0.8289,0.9008,0.8688,2.8656,161,129,246,34,0.0432,8,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.76,fixed,0.100
43,2,0.8355,0.8943,0.8639,2.8588,476,293,124,19,0.1828,7,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.62,adaptive,0.158
44,2,0.8364,0.9082,0.8617,2.8741,100,297,53,27,0.0764,7,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.57,adaptive,0.169
45,2,0.8192,0.8914,0.8669,2.8425,100,120,262,27,0.1303,6,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.57,fixed,0.218
46,2,0.8360,0.9270,0.8745,2.9103,200,146,130,24,0.0738,6,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.75,fixed,0.250
47,2,0.8080,0.9211,0.8657,2.8656,499,245,262,47,0.1303,6,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.18,fixed,0.140
48,2,0.8283,0.9317,0.8807,2.9152,35,197,167,32,0.1829,3,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,adaptive,0.064
49,2,0.8217,0.9164,0.8660,2.8740,200,197,114,32,0.0328,5,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.65,adaptive,0.064
50,2,0.8434,0.9385,0.8817,2.9394,265,270,257,32,0.1424,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.60,fixed,0.067
51,2,0.8344,0.8919,0.8670,2.8584,355,293,71,15,0.0086,9,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.62,fixed,0.137
52,2,0.8201,0.9113,0.8676,2.8680,453,211,162,27,0.1795,5,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.42,adaptive,0.174
53,2,0.8394,0.9362,0.8694,2.9192,200,88,251,30,0.0738,6,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.79,fixed,0.240
54,2,0.8460,0.9081,0.8633,2.8854,27,52,162,47,0.1256,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.57,fixed,0.067
55,2,0.8284,0.9227,0.8718,2.8946,491,153,167,46,0.1498,4,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.60,fixed,0.076
56,3,0.8459,0.9279,0.8742,2.9211,406,255,16,15,0.0741,3,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.38,fixed,0.239
57,3,0.8365,0.9360,0.8745,2.9216,265,164,270,32,0.1829,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.87,fixed,0.217
58,3,0.8279,0.9242,0.8792,2.9040,35,129,167,29,0.0663,3,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.44,adaptive,0.064
59,3,0.8415,0.9134,0.8645,2.8885,27,91,167,21,0.0484,6,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.60,adaptive,0.067
60,3,0.8452,0.9230,0.8674,2.9070,27,123,144,21,0.0556,2,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.64,adaptive,0.200
61,3,0.8434,0.9385,0.8817,2.9394,265,270,210,32,0.0146,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.60,fixed,0.067
62,3,0.8448,0.9238,0.8721,2.9126,402,192,199,19,0.0250,3,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.39,fixed,0.103
63,3,0.8281,0.9183,0.8776,2.8954,265,282,70,32,0.1407,5,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.60,fixed,0.067
64,3,0.8281,0.9088,0.8667,2.8720,132,129,229,19,0.1237,7,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.81,adaptive,0.158
65,3,0.7695,0.9136,0.8590,2.8107,129,217,14,14,0.2243,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.82,fixed,0.085
66,3,0.8294,0.9252,0.8695,2.8961,455,270,257,30,0.1424,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.36,fixed,0.068
67,3,0.8436,0.9345,0.8812,2.9343,200,197,14,18,0.0852,2,Shattsur/nemotron-smeta-4bit-adapter,auto,weighted,0.45,fixed,0.130
68,3,0.8422,0.9261,0.8726,2.9133,68,269,31,34,0.0334,3,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.27,fixed,0.086
69,3,0.8163,0.9221,0.8678,2.8775,35,239,167,30,0.0738,6,Alibaba-NLP/gte-reranker-modernbert-base,auto,rrf,0.59,adaptive,0.250
70,3,0.8423,0.8934,0.8632,2.8639,376,135,47,21,0.0738,6,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.75,fixed,0.164
71,3,0.8438,0.9261,0.8666,2.9084,406,79,16,30,0.2465,4,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.38,fixed,0.239
72,3,0.8448,0.9214,0.8755,2.9136,59,286,54,20,0.0444,3,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.37,fixed,0.107
73,3,0.8339,0.8861,0.8708,2.8552,449,60,13,47,0.0274,10,DiTy/cross-encoder-russian-msmarco,auto,rrf,0.64,adaptive,0.200
74,3,0.8337,0.9254,0.8664,2.8972,27,33,162,26,0.1596,10,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.62,fixed,0.085
75,3,0.8313,0.9322,0.8722,2.9093,27,145,167,47,0.1256,2,Alibaba-NLP/gte-reranker-modernbert-base,auto,weighted,0.57,fixed,0.067
76,3,0.7607,0.9143,0.8588,2.8025,35,197,167,32,0.2170,9,Shattsur/nemotron-smeta-4bit-adapter,auto,rrf,0.59,adaptive,0.240
77,3,0.8503,0.9184,0.8759,2.9158,27,145,204,21,0.2327,2,DiTy/cross-encoder-russian-msmarco,auto,weighted,0.60,adaptive,0.067
